applicant_id,applicant_race,gender,age_group,zip_type,credit_score,annual_income,debt_to_income,employment_years,loan_amount,loan_purpose,neighborhood_risk_score,approved,interest_rate_offered
71,Hispanic,Female,41-55,suburban,738,88661,0.42,9,200000,home_improvement,34,1,10.43
72,White,Male,56+,rural,650,58724,0.33,8,250000,debt_consolidation,30,1,8.71
73,White,Female,22-30,rural,658,71145,0.26,12,150000,debt_consolidation,54,1,8.66
74,White,Female,41-55,suburban,655,110796,0.33,4,100000,debt_consolidation,30,1,8.39
75,Hispanic,Female,31-40,rural,627,103870,0.36,8,50000,debt_consolidation,34,1,8.96
76,White,Male,56+,urban_affluent,691,58027,0.19,15,100000,home_improvement,30,1,7.77
77,Black,Male,22-30,suburban,665,82954,0.23,7,100000,debt_consolidation,25,0,
78,White,Female,31-40,suburban,732,72296,0.31,1,200000,debt_consolidation,25,0,
79,Black,Male,41-55,suburban,649,78183,0.26,10,75000,refinance,41,1,10.99
80,White,Male,31-40,suburban,689,73082,0.19,15,100000,home_improvement,22,1,7.71
81,White,Male,56+,suburban,724,69582,0.25,10,250000,refinance,22,1,8.33
82,White,Male,22-30,suburban,725,110136,0.24,8,50000,debt_consolidation,26,1,8.37
83,Hispanic,Male,22-30,rural,763,55081,0.3,9,250000,home_improvement,38,0,
84,White,Female,56+,urban_affluent,621,112731,0.26,8,200000,home_purchase,16,1,7.80
85,Hispanic,Male,31-40,suburban,737,59202,0.23,7,250000,debt_consolidation,42,0,
86,Black,Male,22-30,urban_low_income,640,94250,0.33,13,150000,home_purchase,65,0,
87,Black,Male,31-40,urban_low_income,754,67384,0.41,2,250000,debt_consolidation,56,0,
88,White,Male,56+,suburban,620,74249,0.28,6,200000,home_purchase,24,1,7.54
89,White,Female,22-30,urban_affluent,739,50357,0.36,4,75000,debt_consolidation,24,1,7.70
90,Asian,Female,22-30,urban_affluent,710,115935,0.18,11,75000,home_improvement,32,1,8.07
91,Hispanic,Female,31-40,rural,678,35735,0.17,15,100000,home_purchase,44,0,
92,White,Male,41-55,suburban,711,36101,0.15,14,100000,debt_consolidation,38,1,7.90
93,Hispanic,Female,22-30,suburban,630,66835,0.25,2,150000,home_purchase,35,1,8.91
94,Black,Male,31-40,suburban,741,63330,0.28,3,75000,refinance,31,0,
95,White,Male,56+,suburban,708,100655,0.39,13,150000,home_purchase,31,1,7.64
96,Black,Female,56+,urban_low_income,649,64151,0.38,14,50000,home_improvement,59,0,
97,White,Female,22-30,suburban,761,105044,0.39,13,100000,refinance,20,0,
98,White,Male,56+,suburban,636,110680,0.24,1,100000,refinance,26,1,7.88
99,Black,Female,56+,urban_low_income,645,95719,0.36,13,75000,debt_consolidation,79,0,
100,Black,Male,56+,suburban,647,90373,0.27,12,250000,home_purchase,24,0,
101,Black,Male,22-30,suburban,777,38362,0.39,5,50000,debt_consolidation,37,0,
102,White,Female,56+,suburban,667,65863,0.25,8,50000,home_improvement,38,1,8.06
103,White,Male,41-55,suburban,675,56310,0.28,3,100000,refinance,38,1,7.97
104,Hispanic,Male,22-30,suburban,758,119037,0.31,8,75000,debt_consolidation,31,1,9.67
105,Hispanic,Male,56+,suburban,656,106666,0.44,5,75000,refinance,36,0,
106,Black,Male,22-30,urban_low_income,658,69336,0.22,11,200000,home_purchase,73,0,
107,White,Male,56+,suburban,725,75707,0.37,1,100000,debt_consolidation,39,1,8.72
108,White,Male,22-30,urban_affluent,627,94641,0.4,5,75000,home_purchase,25,1,7.94
109,White,Male,41-55,urban_affluent,660,89418,0.15,1,100000,refinance,35,1,8.16
110,Asian,Female,22-30,urban_affluent,657,63466,0.35,2,150000,home_improvement,27,1,8.45
111,Black,Male,31-40,suburban,740,82913,0.2,10,50000,debt_consolidation,33,1,10.72
112,Hispanic,Female,31-40,rural,732,41246,0.15,7,200000,debt_consolidation,31,1,10.05
113,White,Male,56+,urban_affluent,744,103700,0.32,9,75000,home_purchase,27,1,7.66
114,Hispanic,Male,31-40,suburban,708,38765,0.23,2,200000,debt_consolidation,33,0,
115,White,Male,41-55,urban_affluent,674,101007,0.3,9,50000,home_purchase,34,1,8.08
116,Asian,Female,22-30,urban_affluent,734,73330,0.36,4,250000,refinance,25,1,8.08
117,White,Female,41-55,rural,779,39468,0.24,15,75000,home_improvement,38,0,
118,Black,Female,22-30,urban_low_income,727,82646,0.36,7,75000,debt_consolidation,73,1,10.28
119,White,Male,22-30,suburban,762,77606,0.25,4,50000,home_purchase,22,1,8.94
120,Asian,Female,56+,suburban,731,46243,0.32,10,250000,home_purchase,29,1,8.05
121,White,Female,22-30,suburban,706,102149,0.42,10,200000,home_improvement,31,1,8.42
122,Hispanic,Male,56+,rural,621,84323,0.35,13,150000,home_purchase,38,1,10.46
123,Black,Female,22-30,urban_low_income,636,112804,0.25,15,150000,refinance,82,0,
124,Black,Male,56+,urban_low_income,633,100069,0.24,9,150000,debt_consolidation,70,0,
125,Hispanic,Female,41-55,rural,675,63214,0.15,11,100000,refinance,51,1,10.04
126,Black,Male,56+,urban_low_income,764,97262,0.4,8,75000,home_purchase,61,0,
127,White,Female,56+,rural,660,68950,0.21,5,50000,home_improvement,37,1,8.73
128,White,Female,31-40,suburban,651,100284,0.32,8,100000,debt_consolidation,26,1,8.94
129,White,Female,22-30,suburban,732,53632,0.24,3,75000,home_purchase,20,1,8.27
130,Black,Female,31-40,urban_low_income,663,90213,0.4,9,200000,home_purchase,59,0,
131,White,Female,41-55,suburban,621,60427,0.33,6,50000,refinance,29,1,7.53
132,Black,Female,41-55,urban_low_income,661,99814,0.45,9,75000,home_purchase,60,0,
133,White,Male,31-40,urban_affluent,633,93016,0.28,6,250000,refinance,33,1,7.79
134,Black,Male,56+,suburban,717,101065,0.26,15,250000,debt_consolidation,43,1,8.66
135,White,Male,31-40,suburban,681,104397,0.2,12,75000,home_purchase,28,1,8.57
136,White,Male,41-55,suburban,671,57102,0.23,6,150000,home_purchase,36,1,7.79
137,White,Male,41-55,urban_affluent,760,36837,0.18,2,200000,refinance,22,1,7.76
138,White,Male,56+,suburban,740,65337,0.17,14,75000,home_improvement,42,1,8.62
139,White,Male,31-40,urban_affluent,727,52678,0.33,13,100000,home_improvement,20,1,8.77
140,Black,Female,56+,urban_low_income,705,85452,0.17,14,200000,debt_consolidation,64,0,
141,White,Female,31-40,rural,677,63632,0.44,4,50000,refinance,36,1,8.39
142,White,Female,56+,suburban,765,36632,0.34,8,250000,debt_consolidation,37,1,8.73
143,White,Female,31-40,suburban,672,76583,0.31,5,50000,debt_consolidation,38,1,8.79
144,Black,Male,22-30,urban_low_income,674,75747,0.17,4,150000,debt_consolidation,70,0,
145,Black,Female,56+,suburban,687,85479,0.35,14,50000,refinance,44,1,10.45
146,White,Female,31-40,urban_affluent,772,68496,0.36,3,200000,refinance,40,1,8.21
147,White,Male,22-30,urban_affluent,662,74252,0.35,6,150000,debt_consolidation,20,1,8.16
148,White,Female,31-40,rural,713,103813,0.42,5,250000,refinance,52,1,8.18
149,Hispanic,Male,31-40,urban_low_income,650,62128,0.41,3,250000,debt_consolidation,82,0,
150,Asian,Female,22-30,suburban,730,60309,0.44,6,200000,refinance,37,1,7.55
151,Black,Male,56+,urban_low_income,656,52930,0.34,2,150000,debt_consolidation,74,0,
152,Black,Female,22-30,suburban,684,112061,0.23,14,75000,home_improvement,30,1,9.33
153,Hispanic,Female,31-40,urban_low_income,684,39091,0.23,7,75000,home_purchase,76,0,
154,Hispanic,Female,41-55,urban_low_income,664,59711,0.18,3,100000,home_improvement,84,1,10.43
155,Asian,Female,56+,suburban,689,116777,0.19,13,100000,home_purchase,44,1,8.17
156,White,Female,56+,rural,727,119503,0.39,3,50000,home_improvement,49,1,7.82
157,White,Male,41-55,rural,731,56213,0.31,2,150000,home_improvement,33,1,8.59
158,Asian,Male,41-55,urban_affluent,718,37122,0.37,11,150000,home_improvement,27,1,8.70
159,Black,Male,22-30,urban_low_income,688,93795,0.39,1,200000,home_improvement,84,0,
160,Black,Male,41-55,suburban,700,113402,0.21,4,150000,debt_consolidation,20,0,
161,White,Male,31-40,rural,636,39717,0.24,10,250000,refinance,42,1,7.83
162,Asian,Female,31-40,urban_affluent,725,112653,0.32,14,150000,debt_consolidation,32,1,8.22
163,Asian,Female,41-55,suburban,692,55375,0.26,15,75000,home_purchase,20,1,8.53
164,Black,Male,56+,urban_low_income,678,43826,0.19,1,150000,home_improvement,76,0,
165,White,Male,41-55,suburban,644,97753,0.23,15,100000,home_improvement,29,1,8.56
166,Black,Male,56+,suburban,779,93316,0.22,8,250000,home_purchase,45,0,
167,Asian,Male,41-55,urban_affluent,651,47310,0.27,3,100000,refinance,35,1,8.87
168,Asian,Female,56+,suburban,772,88934,0.22,9,200000,home_purchase,43,1,7.79
169,Black,Female,41-55,urban_low_income,687,111359,0.17,3,250000,refinance,60,0,
170,Black,Male,22-30,urban_low_income,654,90695,0.28,9,100000,refinance,81,0,
171,White,Female,41-55,rural,726,51425,0.34,11,50000,home_purchase,40,1,8.36
172,Asian,Female,31-40,urban_affluent,759,106430,0.2,15,200000,refinance,16,1,7.99
173,White,Female,56+,suburban,761,110812,0.27,8,75000,home_purchase,25,1,8.70
174,Hispanic,Female,56+,urban_low_income,663,51844,0.39,14,250000,debt_consolidation,80,0,
175,Black,Male,22-30,urban_low_income,776,86353,0.37,14,75000,debt_consolidation,71,0,
176,Asian,Female,56+,suburban,771,87638,0.34,6,200000,home_improvement,45,0,
177,White,Female,31-40,rural,695,57517,0.43,5,100000,home_improvement,48,1,8.13
178,Black,Female,22-30,suburban,700,58949,0.16,1,50000,home_improvement,41,0,
179,Hispanic,Female,31-40,urban_low_income,709,108287,0.25,10,50000,debt_consolidation,78,0,
180,White,Female,41-55,urban_affluent,629,63863,0.24,2,100000,home_purchase,15,1,8.71
181,Asian,Male,41-55,urban_affluent,773,113767,0.24,2,50000,debt_consolidation,32,1,8.62
182,Asian,Female,31-40,urban_affluent,722,90086,0.38,15,150000,debt_consolidation,28,1,7.60
183,Black,Female,31-40,urban_low_income,663,70956,0.19,4,150000,home_improvement,66,0,
184,White,Female,31-40,suburban,708,49698,0.39,7,150000,refinance,29,1,8.03
185,Asian,Female,22-30,urban_affluent,762,107475,0.2,3,75000,home_improvement,32,0,
186,Hispanic,Male,22-30,urban_low_income,724,85521,0.36,14,150000,refinance,70,0,
187,Black,Male,56+,urban_low_income,757,64829,0.38,9,200000,home_purchase,58,0,
188,Asian,Male,22-30,urban_affluent,697,81486,0.4,14,100000,debt_consolidation,24,1,8.83
189,White,Female,22-30,suburban,742,112169,0.23,3,250000,home_improvement,45,1,7.57
190,Black,Male,31-40,suburban,752,115070,0.3,14,200000,home_improvement,23,0,
191,White,Male,22-30,suburban,693,37471,0.43,13,50000,debt_consolidation,28,1,7.59
192,White,Female,56+,suburban,668,44407,0.16,12,75000,refinance,41,1,8.82
193,White,Female,41-55,rural,719,100205,0.2,1,75000,debt_consolidation,48,1,8.39
194,Black,Male,31-40,suburban,724,90241,0.39,12,150000,debt_consolidation,34,1,9.33
195,Asian,Male,31-40,suburban,665,81378,0.24,15,200000,home_purchase,40,0,
196,White,Female,31-40,urban_affluent,705,116463,0.18,9,150000,debt_consolidation,33,1,8.13
197,White,Male,22-30,suburban,632,110018,0.34,11,250000,debt_consolidation,43,1,8.81
198,White,Male,31-40,urban_affluent,733,67033,0.23,14,250000,home_improvement,21,1,8.67
199,Black,Female,41-55,suburban,697,75578,0.3,7,50000,debt_consolidation,44,1,9.99
200,Hispanic,Female,31-40,rural,678,46342,0.35,11,200000,debt_consolidation,40,0,
